Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance
179.407,30,179,400000000,map,6.366686675231777,3.971674243631421,0.0,0.0,0.0,0.578266478411507,0.8158479514870121,"(0.00878398628226762, -0.002121300822391703, 0.0, 0.0, 0.0, 0.0, -0.002121300822391703, 0.012233523136661262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01584446714940923)"
183.205,31,183,200000000,map,6.378170019384717,3.992816314983601,0.0,0.0,0.0,0.04739423572635869,0.9988762618162043,"(0.008613002615582843, 0.0003796448774373573, 0.0, 0.0, 0.0, 0.0, 0.0003796448774373573, 0.012551841219519133, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016520253235325664)"
189.205,32,189,200000000,map,6.386291330727402,3.991719295048103,0.0,0.0,0.0,-0.4646459871130503,0.8854965311393033,"(0.009925252572315912, -0.0005629660084345289, 0.0, 0.0, 0.0, 0.0, -0.0005629660084345289, 0.009843177208693987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014330482264785008)"
200.005,33,200,0,map,6.475301072450219,3.5756972008315437,0.0,0.0,0.0,-0.627117722292122,0.7789244908122616,"(0.007075291540580508, 0.0005469703956038074, 0.0, 0.0, 0.0, 0.0, 0.0005469703956038074, 0.00948827909385308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00994849150801008)"
205.205,34,205,200000000,map,6.509692740153998,3.1528021463535096,0.0,0.0,0.0,-0.7022075947165731,0.7119722564274292,"(0.007860896118216942, 0.001388239544940717, 0.0, 0.0, 0.0, 0.0, 0.001388239544940717, 0.009118529719540192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008409498113006725)"
209.403,35,209,400000000,map,6.517784053179302,2.7235460044493185,0.0,0.0,0.0,-0.6983265970592298,0.7157792703338621,"(0.00819681881385037, 0.002449415736972327, 0.0, 0.0, 0.0, 0.0, 0.002449415736972327, 0.007981684464266614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006404716462068806)"
212.603,36,212,600000000,map,6.525660996038069,2.2827937319303553,0.0,0.0,0.0,-0.6956703297579331,0.7183611851252046,"(0.00844783366249402, 0.00236739004276032, 0.0, 0.0, 0.0, 0.0, 0.00236739004276032, 0.006908584189198486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004196445830219661)"
215.803,37,215,800000000,map,6.542560921646076,1.8345805572910099,0.0,0.0,0.0,-0.6939740961705733,0.7199999679473853,"(0.008395298910699012, 0.001753174698519544, 0.0, 0.0, 0.0, 0.0, 0.0017531746985213204, 0.005876701529803352, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003270912557677984)"
219.002,38,219,0,map,6.561744427623164,1.3844328422144732,0.0,0.0,0.0,-0.6920287547546724,0.7218699346784693,"(0.0084466381040329, 0.0013000720100979635, 0.0, 0.0, 0.0, 0.0, 0.0013000720100979635, 0.005291067745140321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002614201471255946)"
224.002,39,224,0,map,6.5678903417529755,1.025349374447658,0.0,0.0,0.0,-0.8638937821299904,0.5036740346664108,"(0.00843937016416163, 0.0007085238587229981, 0.0, 0.0, 0.0, 0.0, 0.0007085238587229981, 0.007633757039040567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005714368813192813)"
